Concat,id,superficie,fecha,lat,lng,latlng_explicit,idcomunidad,idprovincia,idmunicipio,municipio,causa,causa_supuesta,causa_desc,muertos,heridos,time_ctrl,time_ext,personal,medios,gastos,perdidas,ALTITUD,TMEDIA,PRECIPITACION,TMIN,TMAX,DIR,VELMEDIA,RACHA,SOL,PRESMAX,PRESMIN
36942 15,2001150021,5,20/02/2001,43.703581,-8.038777,1,3,15,22,CEDEIRA,2,1,30,,,235,270,14,2,,7013,58,11.3,0,7,15.6,11,3.6,16.9,10.2,1025.4,1021
36946 15,2001150088,1.5,24/02/2001,42.936918,-9.11435,1,3,15,34,DUMBRÃA,4,1,0,,,470,530,14,1,,1497,58,11.7,0,9.4,14,34,4.2,11.4,9.4,1006.6,1003.9
36947 15,2001150094,1.5,25/02/2001,43.186836,-8.68547,1,3,15,19,CARBALLO,4,1,0,,,125,135,5,0,,1028,58,9,0,6.5,11.6,4,5,11.1,10.2,1011.3,1006.6
36947 15,2001150111,3.8,25/02/2001,42.917476,-9.082862,1,3,15,45,MAZARICOS,4,1,1,,,1050,1051,14,1,,3119,58,9,0,6.5,11.6,4,5,11.1,10.2,1011.3,1006.6
36994 15,2001150145,1.5,13/04/2001,43.699889,-7.984566,1,3,15,22,CEDEIRA,2,1,30,,,110,155,9,1,,126,58,13.9,0,10.4,17.4,5,5.3,13.9,12.1,1018.6,1015.4
36994 15,2001150151,1.1,13/04/2001,42.758649,-8.917814,1,3,15,42,LOUSAME,5,,0,,,190,210,18,2,,234,58,13.9,0,10.4,17.4,5,5.3,13.9,12.1,1018.6,1015.4
36994 15,2001150153,1.5,13/04/2001,43.063218,-9.235604,1,3,15,52,MUXÃA,4,1,3,,,95,125,14,1,,2915,58,13.9,0,10.4,17.4,5,5.3,13.9,12.1,1018.6,1015.4
36995 15,2001150165,1.3,14/04/2001,42.851086,-8.866091,1,3,15,62,OUTES,4,1,0,,,175,190,19,2,,534,58,14.2,0,10.4,18,8,5.6,12.8,11.8,1017.5,1014.9
36996 15,2001150181,1.5,15/04/2001,43.240732,-8.670253,1,3,15,19,CARBALLO,4,1,0,,,145,210,6,2,,2254,58,12.7,0,8.8,16.6,14,1.4,9.2,11.8,1015.9,1012.5
36996 15,2001150183,3,15/04/2001,42.935457,-9.154093,1,3,15,23,CEE,4,1,0,,,270,345,9,2,,1189,58,12.7,0,8.8,16.6,14,1.4,9.2,11.8,1015.9,1012.5
36997 15,2001150194,1.05,16/04/2001,43.645998,-8.044866,1,3,15,22,CEDEIRA,4,1,5,,,190,260,11,0,,66,58,12.9,0,9.4,16.4,4,4.7,11.9,6.4,1012.7,1009.9
36997 15,2001150197,2.5,16/04/2001,43.371826,-8.025395,1,3,15,50,MONFERO,4,,10,,,132,152,6,1,,3600,58,12.9,0,9.4,16.4,4,4.7,11.9,6.4,1012.7,1009.9
36998 15,2001150207,1.4,17/04/2001,43.5844,-8.035015,1,3,15,76,SAN SADURNIÃ‘O,4,1,1,,,145,195,6,1,,859,58,13.5,0,10.8,16.2,5,7.2,16.4,11.2,1009.9,1007.1
36998 15,2001150213,1.7,17/04/2001,43.291593,-8.495562,1,3,15,5,ARTEIXO,5,,0,,,200,245,9,1,,2175,58,13.5,0,10.8,16.2,5,7.2,16.4,11.2,1009.9,1007.1
36998 15,2001150214,1.4,17/04/2001,43.30714,-8.463079,1,3,15,5,ARTEIXO,5,,0,,,125,170,16,2,,541,58,13.5,0,10.8,16.2,5,7.2,16.4,11.2,1009.9,1007.1
36998 15,2001150218,1.4,17/04/2001,42.773828,-8.900901,1,3,15,57,NOIA,2,,30,,,225,250,7,0,,595,58,13.5,0,10.8,16.2,5,7.2,16.4,11.2,1009.9,1007.1
36998 15,2001150227,1.5,17/04/2001,43.244306,-8.079977,1,3,15,3,ARANGA,4,,0,,,125,135,9,1,,1857,58,13.5,0,10.8,16.2,5,7.2,16.4,11.2,1009.9,1007.1
36998 15,2001150228,5,17/04/2001,42.826981,-8.687411,1,3,15,13,BRIÃ“N,4,1,1,,,205,250,16,2,,2909,58,13.5,0,10.8,16.2,5,7.2,16.4,11.2,1009.9,1007.1
36999 15,2001150233,1,18/04/2001,42.908835,-8.589152,1,3,15,78,SANTIAGO DE COMPOSTELA,4,1,1,,,134,139,11,2,,,58,11.9,1.4,9.8,14,4,3.6,11.1,6.5,1010.7,1008.7
